formula,temperature(K),sum_Atomic_Number,sum_Atomic_Weight,sum_Mendeleev_Number,sum_l_quantum_number,sum_Atomic_Radius,sum_Covalent_Radius,sum_Pauling_Electronegativity,sum_number_of_valence_electrons,sum_1st_ionization_potential_(kJ/mol),sum_Melting_point_(K),sum_Boiling_Point_(K),sum_Density_(g/mL),sum_specific_heat_(J/g_K)_,sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_thermal_conductivity_(W/(m_K))_,sum_SpaceGroupNumber,seebeck_coefficient,Thermal_conductivity,electrical_conductivity(S/m)
LiGe3.5Sb2Te7,673,581.0,1397.796,1077.5,12.5,17.315,17.82,26.815,67.0,10938.0,11592.425,25763.125,76.223,6.54,294.46,1826.2,359.4,2412.5,270.0,0.89,32200.0
LiGe3.5Sb2Te7,723,581.0,1397.796,1077.5,12.5,17.315,17.82,26.815,67.0,10938.0,11592.425,25763.125,76.223,6.54,294.46,1826.2,359.4,2412.5,275.0,0.9,31111.0
Nd2.78Te4,373,374.8,911.3872,412.82,12.34,10.6468,10.5152,11.5692,32.34,4957.74,6474.437,14504.217,44.42,1.3282,89.8092,969.14,55.27,1147.32,-58.0,1.39,94460.0
Nd2.78Te4,573,374.8,911.3872,412.82,12.34,10.6468,10.5152,11.5692,32.34,4957.74,6474.437,14504.217,44.42,1.3282,89.8092,969.14,55.27,1147.32,-106.0,1.23,61350.0
Nd2.78Te4,773,374.8,911.3872,412.82,12.34,10.6468,10.5152,11.5692,32.34,4957.74,6474.437,14504.217,44.42,1.3282,89.8092,969.14,55.27,1147.32,-147.0,1.13,40750.0
Nd2.78Te4,973,374.8,911.3872,412.82,12.34,10.6468,10.5152,11.5692,32.34,4957.74,6474.437,14504.217,44.42,1.3282,89.8092,969.14,55.27,1147.32,-190.0,0.95,28900.0
Nd2.78Te4,1073,374.8,911.3872,412.82,12.34,10.6468,10.5152,11.5692,32.34,4957.74,6474.437,14504.217,44.42,1.3282,89.8092,969.14,55.27,1147.32,-205.0,0.88,23930.0
Nd2.78Te4,1173,374.8,911.3872,412.82,12.34,10.6468,10.5152,11.5692,32.34,4957.74,6474.437,14504.217,44.42,1.3282,89.8092,969.14,55.27,1147.32,-214.0,0.88,20823.0
Nd2.84Te4,373,378.4,920.0416,413.96,12.52,10.7704,10.6256,11.6376,32.52,4989.72,6551.786,14708.226,44.84,1.3396,90.2376,985.52,56.26,1158.96,-42.0,1.93,128600.0
Nd2.84Te4,573,378.4,920.0416,413.96,12.52,10.7704,10.6256,11.6376,32.52,4989.72,6551.786,14708.226,44.84,1.3396,90.2376,985.52,56.26,1158.96,-74.0,1.84,92600.0
Nd2.84Te4,773,378.4,920.0416,413.96,12.52,10.7704,10.6256,11.6376,32.52,4989.72,6551.786,14708.226,44.84,1.3396,90.2376,985.52,56.26,1158.96,-106.0,1.72,65060.0
Nd2.84Te4,973,378.4,920.0416,413.96,12.52,10.7704,10.6256,11.6376,32.52,4989.72,6551.786,14708.226,44.84,1.3396,90.2376,985.52,56.26,1158.96,-135.0,1.49,47400.0
Nd2.84Te4,1073,378.4,920.0416,413.96,12.52,10.7704,10.6256,11.6376,32.52,4989.72,6551.786,14708.226,44.84,1.3396,90.2376,985.52,56.26,1158.96,-149.0,1.4,41162.0
Nd2.84Te4,1173,378.4,920.0416,413.96,12.52,10.7704,10.6256,11.6376,32.52,4989.72,6551.786,14708.226,44.84,1.3396,90.2376,985.52,56.26,1158.96,-163.0,1.42,35950.0
Nd2.86Te4,373,379.6,922.9264,414.34,12.58,10.8116,10.6624,11.6604,32.58,5000.38,6577.569,14776.229,44.98,1.3434,90.3804,990.98,56.59,1162.84,-42.0,2.07,151400.0
