formula,temperature(K),sum_Atomic_Number,sum_Atomic_Weight,sum_Mendeleev_Number,sum_l_quantum_number,sum_Atomic_Radius,sum_Covalent_Radius,sum_Pauling_Electronegativity,sum_number_of_valence_electrons,sum_1st_ionization_potential_(kJ/mol),sum_Melting_point_(K),sum_Boiling_Point_(K),sum_Density_(g/mL),sum_specific_heat_(J/g_K)_,sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_thermal_conductivity_(W/(m_K))_,sum_SpaceGroupNumber,Thermal_conductivity
(Sn0.89Mn0.14Te)(Cu2Te)0.05,920,105.5,253.677827,179.38,2.42,2.9524,3.005,4.3564,11.94,1718.34,1556.382,4186.437,14.9941,0.51723,27.61231,380.1095,102.9363,337.97,
(Sn0.91Mg0.12Te)(Cu2Te)0.05,300,104.44,251.2773,181.86,2.16,2.93,2.9946,4.3358,11.28,1720.7,1464.742,4087.957,14.3089,0.57697,27.14037,369.6735,121.8935,333.69,
(Sn0.91Mg0.12Te)(Cu2Te)0.05,900,104.44,251.2773,181.86,2.16,2.93,2.9946,4.3358,11.28,1720.7,1464.742,4087.957,14.3089,0.57697,27.14037,369.6735,121.8935,333.69,
Ag2Sb0.02Te0.98,300,145.98,343.2196,219.9,1.0,4.532,4.4106,5.959,27.98,2330.3,3196.58,6252.454,27.249,0.6702,40.1376,554.2018,860.789,602.28,
AgCuTe,300,128.0,299.0142,219.0,3.0,4.33,4.26,5.93,28.0,2345.0,3313.95,6588.25,25.7,0.815,41.84,603.43,832.35,602.0,
AgCuTe,660,128.0,299.0142,219.0,3.0,4.33,4.26,5.93,28.0,2345.0,3313.95,6588.25,25.7,0.815,41.84,603.43,832.35,602.0,
AgCuTe0.9I0.1,300,128.1,298.944647,219.6,3.0,4.322,4.258,5.986,28.1,2358.9,3280.35,6507.67,25.569,0.8164,40.8734,600.2502,832.1599,593.2,
AgCuTe0.9I0.1,463,128.1,298.944647,219.6,3.0,4.322,4.258,5.986,28.1,2358.9,3280.35,6507.67,25.569,0.8164,40.8734,600.2502,832.1599,593.2,
AgCuTe0.9Se0.1,300,126.2,294.1502,218.9,3.0,4.31,4.241,5.975,28.0,2352.2,3290.7,6557.77,25.555,0.827,40.7604,601.945,832.167,588.2,
AgCuTe0.9Se0.1,670,126.2,294.1502,218.9,3.0,4.31,4.241,5.975,28.0,2352.2,3290.7,6557.77,25.555,0.827,40.7604,601.945,832.167,588.2,
AgGaTe2,300,182.0,432.7912,319.0,3.0,5.47,5.49,7.94,26.0,3048.0,2983.4,7687.2,28.88,1.005,51.87,614.38,474.3,593.0,
AgInTe2,300,200.0,477.8862,320.0,3.0,5.67,5.67,7.91,26.0,3027.0,3110.2,7364.2,30.29,0.865,49.543,587.18,515.3,668.0,
AgInTe2,750,200.0,477.8862,320.0,3.0,5.67,5.67,7.91,26.0,3027.0,3110.2,7364.2,30.29,0.865,49.543,587.18,515.3,668.0,
AgSb0.94Cd0.06Te2,300,201.82,484.26726,329.1,2.94,5.4568,5.616,8.1584,28.42,3305.04,3565.994,7163.1,29.7876,0.8462,65.32932,434.1658,462.35,696.68,
AgSb0.94Cd0.06Te2,573,201.82,484.26726,329.1,2.94,5.4568,5.616,8.1584,28.42,3305.04,3565.994,7163.1,29.7876,0.8462,65.32932,434.1658,462.35,696.68,
AgSb0.96Zn0.04Te2,300,201.16,482.5734,329.36,3.04,5.4436,5.6072,8.164,28.28,3305.88,3576.144,7192.44,29.6876,0.8522,65.64808,434.3464,461.668,696.12,
AgSb0.96Zn0.04Te2,585,201.16,482.5734,329.36,3.04,5.4436,5.6072,8.164,28.28,3305.88,3576.144,7192.44,29.6876,0.8522,65.64808,434.3464,461.668,696.12,
AgSbTe1.85Se0.15,300,199.3,477.5322,329.85,3.0,5.41,5.5815,8.2475,28.0,3313.8,3549.725,7188.48,29.4525,0.863,64.5306,430.5925,457.7255,674.3,
AgSbTe1.85Se0.15,573,199.3,477.5322,329.85,3.0,5.41,5.5815,8.2475,28.0,3313.8,3549.725,7188.48,29.4525,0.863,64.5306,430.5925,457.7255,674.3,
Bi0.3Sb1.625In0.075Te3,300,267.45,651.965461,439.55,5.0,6.39725,6.8385,10.37075,27.85,4215.0,3832.67,8127.9,33.0645,0.9945,88.393475,331.805,55.0185,739.775,
Bi0.5Sb1.495Cu0.005Te3,300,273.89,669.639115,440.395,5.005,6.4006,6.85,10.38425,28.03,4209.055,3798.51,8043.235,33.64135,0.97585,87.8909,326.8758,49.3185,711.295,
Bi0.5Sb1.495Cu0.005Te3,450,273.89,669.639115,440.395,5.005,6.4006,6.85,10.38425,28.03,4209.055,3798.51,8043.235,33.64135,0.97585,87.8909,326.8758,49.3185,711.295,
Bi0.5Sb1.5Te3,320,274.0,669.930185,440.5,5.0,6.4,6.85,10.385,28.0,4209.5,3796.25,8040.15,33.63,0.975,87.925,325.76,47.435,711.0,
Bi0.5Sb1.5Te3,350,274.0,669.930185,440.5,5.0,6.4,6.85,10.385,28.0,4209.5,3796.25,8040.15,33.63,0.975,87.925,325.76,47.435,711.0,
BiCuO0.88Te,323,171.04,414.205842,316.56,4.88,4.5324,4.8324,9.0472,27.28,3473.32,2671.13,6015.582,24.9512584,1.5096,42.0358792,460.650712,411.2435312,399.56,
BiCuO0.88Te,673,171.04,414.205842,316.56,4.88,4.5324,4.8324,9.0472,27.28,3473.32,2671.13,6015.582,24.9512584,1.5096,42.0358792,460.650712,411.2435312,399.56,
BiTe,300,135.0,336.58037,176.0,2.0,2.66,2.81,4.12,11.0,1572.0,1266.8,3096.1,15.99,0.32,28.79,157.35,10.22,164.0,
BiTe,500,135.0,336.58037,176.0,2.0,2.66,2.81,4.12,11.0,1572.0,1266.8,3096.1,15.99,0.32,28.79,157.35,10.22,164.0,
